TIMM10B	XM_054187727.1#TIMM10B
KCNJ11	XM_054200321.1#KCNJ11
PPFIBP1	XM_054187568.1#PPFIBP1
KCNE2	XM_054214422.1#KCNE2
WDR62	XM_054183892.1#WDR62
COMMD9	XM_054198693.1#COMMD9
FRG1	XM_054203568.1#FRG1
STX16	XM_054218539.1#STX16
SYT9	XM_054198236.1#SYT9
LOC128917245	XM_054219964.1#LOC128917245
POLH	XM_054194702.1#POLH
DCTN1	XM_054201781.1#DCTN1
COL6A3	XM_054208161.1#COL6A3
CAMK2D	XM_054203091.1#CAMK2D
LOC128902031	XM_054184323.1#LOC128902031
LHX2	XM_054220753.1#LHX2
LOC128918023	XM_054221859.1#LOC128918023
STEEP1	XM_054213567.1#STEEP1
LOC128917036	XM_054219536.1#LOC128917036
UBE2M	XM_054183607.1#UBE2M
SLC16A5	XM_054222055.1#SLC16A5
DSCC1	XM_054192927.1#DSCC1
KMT2C	XM_054193130.1#KMT2C
LOC128901561	XM_054183640.1#LOC128901561
LOC128901439	XM_054183448.1#LOC128901439
GIT1	XM_054210214.1#GIT1
CCDC47	XM_054224115.1#CCDC47
FBXO2	XM_054222358.1#FBXO2
RECQL4	XM_054187620.1#RECQL4
LOC128903427	XM_054187438.1#LOC128903427
LOC128918070	XM_054221948.1#LOC128918070
SUN1	XM_054211843.1#SUN1
TFDP2	XM_054205620.1#TFDP2
TMEM250	XM_054220200.1#TMEM250
RPL8	XM_054186808.1#RPL8
CTNNBL1	XM_054218074.1#CTNNBL1
IFFO1	XM_054188662.1#IFFO1
IHO1	XM_054216435.1#IHO1
VAMP7	XM_054213710.1#VAMP7
KMT2C	XM_054193133.1#KMT2C
NOL7	XM_054189554.1#NOL7
PHF21A	XM_054198112.1#PHF21A
NSRP1	XM_054209047.1#NSRP1
ZNF639	XM_054207268.1#ZNF639
XM_054187512.1	XM_054187512.1#LOC128903513
CD99L2	XM_054215498.1#CD99L2
LOC128907143	XM_054195608.1#LOC128907143
ST3GAL5	XM_054203624.1#ST3GAL5
DACH1	XM_054220269.1#DACH1
ERBIN	XM_054185238.1#ERBIN
LOC128912536	XM_054208607.1#LOC128912536
CHKA	XM_054200219.1#CHKA
SH3KBP1	XM_054189020.1#SH3KBP1
LOC128918012	XM_054221820.1#LOC128918012
PARN	XM_054211549.1#PARN
HEATR1	XM_054193828.1#HEATR1
MEAK7	XM_054200596.1#MEAK7
DAB1	XM_054211510.1#DAB1
DIRAS1	XM_054181893.1#DIRAS1
SLC16A9	XM_054204689.1#SLC16A9
GFOD1	XM_054190502.1#GFOD1
EZH2	XM_054193446.1#EZH2
LOC128903383	XM_054187400.1#LOC128903383
ZNF618	XM_054220267.1#ZNF618
ADPRH	XM_054188113.1#ADPRH
LIPT2	XM_054193086.1#LIPT2
PHF20L1	XM_054189589.1#PHF20L1
LOC128913645	XM_054211614.1#LOC128913645
DPP10	XM_054208860.1#DPP10
LOC128909550	XM_054201362.1#LOC128909550
SNRPD3	XM_054219447.1#SNRPD3
USB1	XM_054201001.1#USB1
NRCAM	XM_054204362.1#NRCAM
PPP2R2C	XM_054203911.1#PPP2R2C
SLC16A10	XM_054197321.1#SLC16A10
LOC128903658	XM_054187663.1#LOC128903658
RUSC1	XM_054182877.1#RUSC1
FLVCR1	XM_054196920.1#FLVCR1
LOC128914961	XM_054214693.1#LOC128914961
LSM14B	XM_054218161.1#LSM14B
USP24	XM_054211399.1#USP24
LOC128900141	XM_054180920.1#LOC128900141
LOC128913329	XM_054210674.1#LOC128913329
LOC128903406	XM_054187422.1#LOC128903406
GJA9	XM_054223427.1#GJA9
SH3BP2	XM_054201873.1#SH3BP2
CGN	XM_054182905.1#CGN
NOS1	XM_054219924.1#NOS1
LOC128906137	XM_054193011.1#LOC128906137
LOC128902763	XM_054186266.1#LOC128902763
LOC128901928	XM_054184075.1#LOC128901928
LOC128909112	XM_054200356.1#LOC128909112
MLLT1	XM_054181796.1#MLLT1
IMPA2	XM_054191823.1#IMPA2
CSDE1	XM_054181040.1#CSDE1
PODXL	XM_054212033.1#PODXL
EVA1C	XM_054184365.1#EVA1C
L1CAM	XM_054187106.1#L1CAM
IQSEC1	XM_054216250.1#IQSEC1
TARS2	XM_054182917.1#TARS2
LOC128918792	XM_054223418.1#LOC128918792
SULT4A1	XM_054183659.1#SULT4A1
PAQR6	XM_054182547.1#PAQR6
MED12L	XM_054205129.1#MED12L
LOC128905849	XM_054192425.1#LOC128905849
LOC128913491	XM_054211158.1#LOC128913491
CKB	XM_054201064.1#CKB
CHIC1	XM_054213585.1#CHIC1
PHF20L1	XM_054189584.1#PHF20L1
ADCYAP1R1	XM_054191491.1#ADCYAP1R1
RBFOX1	XM_054212204.1#RBFOX1
HSPA14	XM_054194945.1#HSPA14
CLUAP1	XM_054211083.1#CLUAP1
BRPF1	XM_054216590.1#BRPF1
LUC7L3	XM_054221446.1#LUC7L3
DOCK10	XM_054205109.1#DOCK10
EMILIN3	XM_054218867.1#EMILIN3
KCNK15	XM_054218489.1#KCNK15
PLA2G4A	XM_054211871.1#PLA2G4A
IGBP1	XM_054215031.1#IGBP1
PRDM2	XM_054222214.1#PRDM2
PPIA	XM_054180895.1#PPIA
STRIP2	XM_054187890.1#STRIP2
GXYLT2	XM_054216577.1#GXYLT2
POC1B	XM_054208425.1#POC1B
FER	XM_054184662.1#FER
PSMD6	XM_054216536.1#PSMD6
MAP1LC3A	XM_054218575.1#MAP1LC3A
LAMA5	XM_054218271.1#LAMA5
TSHR	XM_054199975.1#TSHR
LRCH3	XM_054204546.1#LRCH3
SLMAP	XM_054215733.1#SLMAP
EVC	XM_054202978.1#EVC
TBXT	XM_054195976.1#TBXT
SLC1A2	XM_054199618.1#SLC1A2
LOC128903613	XM_054187627.1#LOC128903613
LOC128917650	XM_054220998.1#LOC128917650
NSMF	XM_054220907.1#NSMF
CDKL5	XM_054185936.1#CDKL5
CELF4	XM_054185272.1#CELF4
LOC128919217	XM_054224399.1#LOC128919217
PPIP5K2	XM_054184979.1#PPIP5K2
SPAST	XM_054193795.1#SPAST
CRACD	XM_054204080.1#CRACD
CENPU	XM_054201898.1#CENPU
ABCE1	XM_054203983.1#ABCE1
LGR6	XM_054181275.1#LGR6
MRPL38	XM_054221729.1#MRPL38
SELENOI	XM_054196093.1#SELENOI
SQOR	XM_054213784.1#SQOR
BEND7	XM_054190814.1#BEND7
MAST3	XM_054182107.1#MAST3
GRIN2C	XM_054221595.1#GRIN2C
PRDX3	XM_054207369.1#PRDX3
LOC128902618	XM_054185914.1#LOC128902618
TNFRSF14	XM_054222441.1#TNFRSF14
ENC1	XM_054186754.1#ENC1
ACBD4	XM_054224622.1#ACBD4
CLNS1A	XM_054192790.1#CLNS1A
ESRP1	XM_054193070.1#ESRP1
IFT122	XM_054216078.1#IFT122
LOC128905372	XM_054191408.1#LOC128905372
VTA1	XM_054197415.1#VTA1
NAT8L	XM_054203950.1#NAT8L
FEV	XM_054208106.1#FEV
LOC128903282	XM_054187299.1#LOC128903282
MYH11	XM_054210682.1#MYH11
DCTD	XM_054204251.1#DCTD
CDK12	XM_054224131.1#CDK12
LOC128917574	XM_054220881.1#LOC128917574
VSTM2A	XM_054192563.1#VSTM2A
TCF20	XM_054191071.1#TCF20
EBI3	XM_054181956.1#EBI3
GRAMD2A	XM_054214691.1#GRAMD2A
KCNH7	XM_054209833.1#KCNH7
EPC2	XM_054208572.1#EPC2
EIF2D	XM_054181281.1#EIF2D
PLA2G12A	XM_054202627.1#PLA2G12A
MGMT	XM_054205604.1#MGMT
SULF1	XM_054192602.1#SULF1
FBXO8	XM_054202296.1#FBXO8
CNTNAP4	XM_054186786.1#CNTNAP4
LOC128911574	XM_054206704.1#LOC128911574
GAS2L1	XM_054219795.1#GAS2L1
CMTM6	XM_054192393.1#CMTM6
LOC128919572	XM_054224931.1#LOC128919572
ARSB	XM_054186580.1#ARSB
DCAF7	XM_054224477.1#DCAF7
TSPAN10	XM_054221838.1#TSPAN10
MKRN2	XM_054216750.1#MKRN2
PTK2B	XM_054196590.1#PTK2B
SEC16A	XM_054221139.1#SEC16A
AEBP1	XM_054180851.1#AEBP1
VPS8	XM_054204610.1#VPS8
MYO16	XM_054193468.1#MYO16
SPEG	XM_054209685.1#SPEG
NFYA	XM_054181254.1#NFYA
PFKFB3	XM_054208125.1#PFKFB3
SERPINE2	XM_054205260.1#SERPINE2
PIK3C3	XM_054184726.1#PIK3C3
SLC2A2	XM_054206989.1#SLC2A2
UBE2E3	XM_054209123.1#UBE2E3
GRAMD1B	XM_054222814.1#GRAMD1B
SPDYC	XM_054183960.1#SPDYC
DLX2	XM_054209604.1#DLX2
DPY19L1	XM_054191720.1#DPY19L1
LOC128902742	XM_054186208.1#LOC128902742
PLS3	XM_054213850.1#PLS3
LOC128919094	XM_054224076.1#LOC128919094
PTBP2	XM_054211403.1#PTBP2
YAP1	XM_054188215.1#YAP1
FBXO31	XM_054198373.1#FBXO31
GAREM2	XM_054196224.1#GAREM2
ZNF827	XM_054204199.1#ZNF827
POLR2C	XM_054199992.1#POLR2C
DVL3	XM_054205919.1#DVL3
SYNJ2	XM_054194512.1#SYNJ2
MAN1B1	XM_054220210.1#MAN1B1
LOC128911073	XM_054205325.1#LOC128911073
RNF182	XM_054192231.1#RNF182
USP46	XM_054203492.1#USP46
NFX1	XM_054192951.1#NFX1
DNAAF6	XM_054214479.1#DNAAF6
SMG8	XM_054209753.1#SMG8
CPEB2	XM_054202769.1#CPEB2
MCAM	XM_054223117.1#MCAM
B3GNT7	XM_054205968.1#B3GNT7
CDC25B	XM_054203678.1#CDC25B
VCL	XM_054206903.1#VCL
RSBN1L	XM_054211162.1#RSBN1L
TAC3	XM_054183146.1#TAC3
SORCS2	XM_054203166.1#SORCS2
HLCS	XM_054204752.1#HLCS
LOC128901080	XM_054182861.1#LOC128901080
LOC128915688	XM_054216414.1#LOC128915688
PHLDB1	XM_054222909.1#PHLDB1
AJM1	XM_054220771.1#AJM1
RIMBP2	XM_054219315.1#RIMBP2
HAX1	XM_054182462.1#HAX1
LOC128902322	XM_054185108.1#LOC128902322
CCNI	XM_054201990.1#CCNI
SCRN2	XM_054224427.1#SCRN2
LOC128902062	XM_054184401.1#LOC128902062
GRAMD1B	XM_054222822.1#GRAMD1B
GNPTG	XM_054213298.1#GNPTG
RUFY2	XM_054204615.1#RUFY2
EFCC1	XM_054216261.1#EFCC1
HIP1R	XM_054219558.1#HIP1R
BCAT1	XM_054218462.1#BCAT1
LOC128914848	XM_054214509.1#LOC128914848
TCOF1	XM_054217432.1#TCOF1
PHC3	XM_054204371.1#PHC3
NPLOC4	XM_054221496.1#NPLOC4
RREB1	XM_054192628.1#RREB1
KDM6A	XM_054211894.1#KDM6A
CEP20	XM_054210706.1#CEP20
TCTN1	XM_054219579.1#TCTN1
LOC128904778	XM_054189478.1#LOC128904778
SDC3	XM_054223927.1#SDC3
VWDE	XM_054192217.1#VWDE
TRNT1	XM_054216544.1#TRNT1
SLC12A3	XM_054200936.1#SLC12A3
CLK2	XM_054182428.1#CLK2
LOC128906125	XM_054192987.1#LOC128906125
MYCBP2	XM_054208951.1#MYCBP2
ARHGAP39	XM_054192201.1#ARHGAP39
ALCAM	XM_054188521.1#ALCAM
LOC128911062	XM_054205308.1#LOC128911062
TMEM184B	XM_054188472.1#TMEM184B
LOC128909555	XM_054201370.1#LOC128909555
HNRNPLL	XM_054196193.1#HNRNPLL
SMIM33	XM_054217902.1#SMIM33
CD7	XM_054221508.1#CD7
SRPRA	XM_054222851.1#SRPRA
CLASP2	XM_054193595.1#CLASP2
LOC128913996	XM_054212460.1#LOC128913996
MTMR10	XM_054214834.1#MTMR10
HOXA10	XM_054192878.1#HOXA10
CADM1	XM_054222989.1#CADM1
SLC35C2	XM_054218331.1#SLC35C2
TAL1	XM_054210443.1#TAL1
HDAC8	XM_054213390.1#HDAC8
SFXN4	XM_054207366.1#SFXN4
TOP2B	XM_054190678.1#TOP2B
ACSS2	XM_054218266.1#ACSS2
LOC128914034	XM_054212558.1#LOC128914034
SIPA1L2	XM_054194810.1#SIPA1L2
FHOD3	XM_054190212.1#FHOD3
VPS26A	XM_054204914.1#VPS26A
KAT5	XM_054187814.1#KAT5
UBE2J1	XM_054196975.1#UBE2J1
RPL24	XM_054191891.1#RPL24
VWA2	XM_054206449.1#VWA2
GYG1	XM_054204968.1#GYG1
RALGAPA1	XM_054201034.1#RALGAPA1
EFHC1	XM_054196630.1#EFHC1
MAPK8IP3	XM_054210508.1#MAPK8IP3
CALU	XM_054188719.1#CALU
MDGA1	XM_054195985.1#MDGA1
FARP1	XM_054218592.1#FARP1
SUSD5	XM_054192534.1#SUSD5
ALDH1A2	XM_054213925.1#ALDH1A2
CXCL14	XM_054217513.1#CXCL14
RBP2	XM_054206878.1#RBP2
GOPC	XM_054194926.1#GOPC
SENP8	XM_054215028.1#SENP8
LOC128900924	XM_054182586.1#LOC128900924
NUDCD3	XM_054224960.1#NUDCD3
PAX3	XM_054205951.1#PAX3
LOC128911086	XM_054205341.1#LOC128911086
GPHN	XM_054200609.1#GPHN
NIBAN2	XM_054220846.1#NIBAN2
CEBPZOS	XM_054194778.1#CEBPZOS
SKA2	XM_054209637.1#SKA2
RBFOX1	XM_054212215.1#RBFOX1
SORCS2	XM_054203172.1#SORCS2
SFXN5	XM_054203119.1#SFXN5
HINFP	XM_054223052.1#HINFP
NTRK2	XM_054185016.1#NTRK2
SHISAL2A	XM_054212704.1#SHISAL2A
ADSL	XM_054219743.1#ADSL
STRN	XM_054194766.1#STRN
TCF7L2	XM_054207131.1#TCF7L2
SRSF6	XM_054218577.1#SRSF6
MORN5	XM_054220928.1#MORN5
JADE2	XM_054217880.1#JADE2
KLC4	XM_054195210.1#KLC4
OXSM	XM_054193230.1#OXSM
HOXD3	XM_054209805.1#HOXD3
IL21R	XM_054213293.1#IL21R
LRBA	XM_054203496.1#LRBA
PCNT	XM_054208806.1#PCNT
SFXN4	XM_054207364.1#SFXN4
OLAH	XM_054191870.1#OLAH
ETV4	XM_054224342.1#ETV4
AMPD1	XM_054181043.1#AMPD1
PTK2B	XM_054196593.1#PTK2B
MAMDC2	XM_054186788.1#MAMDC2
ARL14	XM_054204425.1#ARL14
LOC128909197	XM_054200540.1#LOC128909197
NME8	XM_054192363.1#NME8
RIPOR3	XM_054218374.1#RIPOR3
BORCS6	XM_054197434.1#BORCS6
LOC128901222	XM_054183053.1#LOC128901222
LOC128902745	XM_054186230.1#LOC128902745
DCUN1D4	XM_054201743.1#DCUN1D4
PSMD12	XM_054221189.1#PSMD12
TPST2	XM_054219057.1#TPST2
EBF1	XM_054217567.1#EBF1
CWF19L1	XM_054207098.1#CWF19L1
TMEM72	XM_054207522.1#TMEM72
PXK	XM_054215980.1#PXK
DDX54	XM_054219862.1#DDX54
GTF3A	XM_054219156.1#GTF3A
SEPTIN11	XM_054201986.1#SEPTIN11
LOC128917536	XM_054220779.1#LOC128917536
PLPPR4	XM_054211252.1#PLPPR4
RALB	XM_054210339.1#RALB
MED20	XM_054181002.1#MED20
ERI3	XM_054212765.1#ERI3
TPR	XM_054210572.1#TPR
LOC128903324	XM_054187339.1#LOC128903324
LOC128904531	XM_054189013.1#LOC128904531
EHBP1	XM_054194435.1#EHBP1
WDR55	XM_054217315.1#WDR55
ITSN1	XM_054189256.1#ITSN1
LOC128915529	XM_054215962.1#LOC128915529
LOC128901606	XM_054183677.1#LOC128901606
AKAIN1	XM_054192548.1#AKAIN1
LOC128901938	XM_054184089.1#LOC128901938
LOC128916726	XM_054218742.1#LOC128916726
CREB3L1	XM_054199471.1#CREB3L1
CIB2	XM_054215551.1#CIB2
LHPP	XM_054204987.1#LHPP
KLHDC4	XM_054198667.1#KLHDC4
NAXE	XM_054182996.1#NAXE
C27H6orf136	XM_054183877.1#C27H6orf136
SHC2	XM_054182138.1#SHC2
TTN	XM_054210378.1#TTN
PEX2	XM_054191181.1#PEX2
GLI3	XM_054191552.1#GLI3
LOC128910073	XM_054202920.1#LOC128910073
LOC128911964	XM_054207613.1#LOC128911964
MYO15B	XM_054222053.1#MYO15B
HTR1B	XM_054196892.1#HTR1B
MAP4	XM_054190129.1#MAP4
LOC128917536	XM_054220778.1#LOC128917536
TAMM41	XM_054215748.1#TAMM41
RCOR1	XM_054198906.1#RCOR1
CITED2	XM_054197167.1#CITED2
DENND5B	XM_054189160.1#DENND5B
LOC128907157	XM_054195635.1#LOC128907157
LSM14B	XM_054218168.1#LSM14B
RPL3L	XM_054212074.1#RPL3L
AMN	XM_054200105.1#AMN
SOX6	XM_054200760.1#SOX6
ZMYND11	XM_054190139.1#ZMYND11
ATG5	XM_054193896.1#ATG5
CIRBP	XM_054181735.1#CIRBP
FHOD1	XM_054200014.1#FHOD1
LOC128916479	XM_054218264.1#LOC128916479
PAX6	XM_054199550.1#PAX6
LOC128901901	XM_054184049.1#LOC128901901
ITFG2	XM_054188749.1#ITFG2
UNCX	XM_054211124.1#UNCX
LOC128902706	XM_054186129.1#LOC128902706
FAM13A	XM_054202360.1#FAM13A
FNBP1L	XM_054212145.1#FNBP1L
ANKDD1B	XM_054185812.1#ANKDD1B
ADGRL3	XM_054202409.1#ADGRL3
PNPLA1	XM_054181596.1#PNPLA1
REELD1	XM_054203007.1#REELD1
MON1A	XM_054216545.1#MON1A
ABCC4	XM_054213215.1#ABCC4
LOC128911342	XM_054206066.1#LOC128911342
EPB41	XM_054223724.1#EPB41
VSTM2L	XM_054218642.1#VSTM2L
USP31	XM_054212151.1#USP31
TAL2	XM_054186590.1#TAL2
ADAMTSL1	XM_054186242.1#ADAMTSL1
LOC128908313	XM_054198256.1#LOC128908313
TBC1D8	XM_054212693.1#TBC1D8
TNFRSF11A	XM_054192946.1#TNFRSF11A
RBBP5	XM_054181309.1#RBBP5
CCNA1	XM_054220378.1#CCNA1
SYT1	XM_054211854.1#SYT1
GSN	XM_054220787.1#GSN
KTN1	XM_054199649.1#KTN1
AMIGO3	XM_054216288.1#AMIGO3
DNM1	XM_054220391.1#DNM1
GPX2	XM_054201582.1#GPX2
FRS2	XM_054206423.1#FRS2
LOC128903468	XM_054187479.1#LOC128903468
CAPN9	XM_054195164.1#CAPN9
SGSM1	XM_054219075.1#SGSM1
EPG5	XM_054185056.1#EPG5
BRD4	XM_054183391.1#BRD4
TJAP1	XM_054195035.1#TJAP1
COL26A1	XM_054209265.1#COL26A1
CRYL1	XM_054213428.1#CRYL1
FGD5	XM_054216115.1#FGD5
RELCH	XM_054189873.1#RELCH
AGAP1	XM_054209381.1#AGAP1
LOC128901379	XM_054183343.1#LOC128901379
LOC128911075	XM_054205328.1#LOC128911075
BEND5	XM_054211791.1#BEND5
INSIG2	XM_054208769.1#INSIG2
MEIS2	XM_054198640.1#MEIS2
RIC3	XM_054200878.1#RIC3
ADORA1	XM_054181496.1#ADORA1
PPP1R12A	XM_054188559.1#PPP1R12A
DTWD1	XM_054215334.1#DTWD1
TBCEL	XM_054222907.1#TBCEL
MAN2B1	XM_054183412.1#MAN2B1
NT5C3A	XM_054193462.1#NT5C3A
MPG	XM_054210848.1#MPG
PCYT2	XM_054221634.1#PCYT2
LOC128916593	XM_054218508.1#LOC128916593
SUCLG1	XM_054203155.1#SUCLG1
CSNK2A2	XM_054198524.1#CSNK2A2
ECM2	XM_054215844.1#ECM2
LRRFIP2	XM_054191151.1#LRRFIP2
SNAP91	XM_054196047.1#SNAP91
MACF1	XM_054223596.1#MACF1
SMC6	XM_054196154.1#SMC6
ATP5MC2	XM_054183325.1#ATP5MC2
EPHA7	XM_054195480.1#EPHA7
ADD1	XM_054201852.1#ADD1
LOC128901941	XM_054184099.1#LOC128901941
PPP3CC	XM_054225104.1#PPP3CC
SMURF1	XM_054211701.1#SMURF1
MLXIPL	XM_054210124.1#MLXIPL
BCOR	XM_054205557.1#BCOR
LOC128903574	XM_054187589.1#LOC128903574
LOC128903035	XM_054186915.1#LOC128903035
DGLUCY	XM_054200054.1#DGLUCY
BCAP31	XM_054187176.1#BCAP31
STX7	XM_054196234.1#STX7
PSME4	XM_054197035.1#PSME4
UPF3B	XM_054213424.1#UPF3B
PTPRB	XM_054212901.1#PTPRB
MARCHF8	XM_054207532.1#MARCHF8
SOX4	XM_054193087.1#SOX4
FOXA1	XM_054199624.1#FOXA1
LIPI	XM_054214922.1#LIPI
ARPC1B	XM_054211004.1#ARPC1B
CSDC2	XM_054182827.1#CSDC2
GOLGA1	XM_054220356.1#GOLGA1
APBB1	XM_054216233.1#APBB1
UNC13B	XM_054185791.1#UNC13B
LOC128902031	XM_054184349.1#LOC128902031
NAV1	XM_054181400.1#NAV1
SSNA1	XM_054220709.1#SSNA1
BRPF1	XM_054216584.1#BRPF1
LOC128902035	XM_054184358.1#LOC128902035
SMIM44	XM_054213203.1#SMIM44
PKIA	XM_054191869.1#PKIA
PELO	XM_054184849.1#PELO
LOC128912873	XM_054209592.1#LOC128912873
PJA2	XM_054186764.1#PJA2
AP3M2	XM_054224900.1#AP3M2
GLIS1	XM_054212394.1#GLIS1
ATXN7	XM_054216531.1#ATXN7
DDC	XM_054192360.1#DDC
MRPL45	XM_054224699.1#MRPL45
TYRO3	XM_054200835.1#TYRO3
SLC44A2	XM_054183439.1#SLC44A2
BRDT	XM_054212310.1#BRDT
POU2F1	XM_054195474.1#POU2F1
PARP6	XM_054214773.1#PARP6
MRPL24	XM_054187826.1#MRPL24
TWF2	XM_054216777.1#TWF2
RAB2A	XM_054190226.1#RAB2A
EML5	XM_054201236.1#EML5
LYN	XM_054191400.1#LYN
LOC128902559	XM_054185790.1#LOC128902559
LOC128908311	XM_054198254.1#LOC128908311
NPRL3	XM_054210820.1#NPRL3
LOC128910128	XM_054203026.1#LOC128910128
LOC128901144	XM_054182958.1#LOC128901144
KRT8	XM_054183234.1#KRT8
BRPF1	XM_054216589.1#BRPF1
LRCH3	XM_054204534.1#LRCH3
TFAM	XM_054204976.1#TFAM
BCAS3	XM_054209078.1#BCAS3
GRINA	XM_054187681.1#GRINA
GRID1	XM_054207026.1#GRID1
ZFYVE26	XM_054197887.1#ZFYVE26
ATP11A	XM_054198515.1#ATP11A
N4BP2	XM_054202387.1#N4BP2
WASHC3	XM_054215254.1#WASHC3
LOC128908124	XM_054197716.1#LOC128908124
LRRC10	XM_054221292.1#LRRC10
KNOP1	XM_054212925.1#KNOP1
LMBR1	XM_054189574.1#LMBR1
NTRK1	XM_054182573.1#NTRK1
NCKIPSD	XM_054216153.1#NCKIPSD
PHF20L1	XM_054189578.1#PHF20L1
C2H9orf152	XM_054191742.1#C2H9orf152
ALOX5AP	XM_054189180.1#ALOX5AP
LAMTOR1	XM_054182537.1#LAMTOR1
UNK	XM_054221213.1#UNK
LOC128900122	XM_054180899.1#LOC128900122
FGFBP1	XM_054203190.1#FGFBP1
SYNE1	XM_054197395.1#SYNE1
LOC128902061	XM_054184392.1#LOC128902061
RIPPLY3	XM_054205851.1#RIPPLY3
CDH19	XM_054193078.1#CDH19
USP47	XM_054200431.1#USP47
XM_054211786.1	XM_054211786.1#LOC128913719
SDE2	XM_054196197.1#SDE2
CNGA2	XM_054214464.1#CNGA2
FOXF1	XM_054199606.1#FOXF1
DST	XM_054197111.1#DST
NDUFA7	XM_054182055.1#NDUFA7
MATN4	XM_054218467.1#MATN4
ENDOG	XM_054220317.1#ENDOG
ACTC1	XM_054200964.1#ACTC1
APCDD1L	XM_054218111.1#APCDD1L
SPG7	XM_054198307.1#SPG7
PPP3CB	XM_054205054.1#PPP3CB
RPL7L1	XM_054202120.1#RPL7L1
LOC128917341	XM_054220164.1#LOC128917341
EPB41L2	XM_054196286.1#EPB41L2
UBR4	XM_054222499.1#UBR4
LOC128901941	XM_054184102.1#LOC128901941
RREB1	XM_054192619.1#RREB1
OSBPL8	XM_054187960.1#OSBPL8
TNIP1	XM_054217170.1#TNIP1
ATF7IP	XM_054199173.1#ATF7IP
LOC128904364	XM_054188557.1#LOC128904364
NAB1	XM_054210311.1#NAB1
LOC128908644	XM_054199293.1#LOC128908644
NXPH4	XM_054183266.1#NXPH4
LOC128902778	XM_054186310.1#LOC128902778
WIPF3	XM_054192722.1#WIPF3
BOC	XM_054188105.1#BOC
MYOM3	XM_054223851.1#MYOM3
CHD6	XM_054218156.1#CHD6
CCNL2	XM_054222206.1#CCNL2
LOC128903570	XM_054187585.1#LOC128903570
KCNQ2	XM_054218319.1#KCNQ2
STXBP1	XM_054220798.1#STXBP1
CELA1	XM_054183156.1#CELA1
SMARCD1	XM_054183064.1#SMARCD1
MGME1	XM_054195328.1#MGME1
VTI1B	XM_054198774.1#VTI1B
PTPMT1	XM_054199040.1#PTPMT1
GEMIN7	XM_054183932.1#GEMIN7
CISD3	XM_054224809.1#CISD3
NAF1	XM_054202912.1#NAF1
DQX1	XM_054203598.1#DQX1
GPATCH1	XM_054198811.1#GPATCH1
PPIB	XM_054213573.1#PPIB
MUTYH	XM_054213073.1#MUTYH
ADCK1	XM_054199570.1#ADCK1
MADCAM1	XM_054182156.1#MADCAM1
MAN2A2	XM_054215170.1#MAN2A2
LOC128912864	XM_054209553.1#LOC128912864
QSOX1	XM_054213171.1#QSOX1
KLHL18	XM_054192046.1#KLHL18
BCAS3	XM_054209096.1#BCAS3
ANKH	XM_054191103.1#ANKH
LOC128919083	XM_054224050.1#LOC128919083
ATP8A1	XM_054202214.1#ATP8A1
CCBE1	XM_054185200.1#CCBE1
BPNT1	XM_054193784.1#BPNT1
USP19	XM_054215970.1#USP19
LOC128917676	XM_054221033.1#LOC128917676
UEVLD	XM_054198341.1#UEVLD
NUP58	XM_054209315.1#NUP58
PXN	XM_054219643.1#PXN
DPP9	XM_054181839.1#DPP9
CBFB	XM_054199984.1#CBFB
PIGW	XM_054210370.1#PIGW
PDC	XM_054210580.1#PDC
LOC128916230	XM_054217600.1#LOC128916230
CSNK1D	XM_054221328.1#CSNK1D
YIPF1	XM_054211375.1#YIPF1
STARD5	XM_054214812.1#STARD5
LOC128903968	XM_054187841.1#LOC128903968
LARP4	XM_054183116.1#LARP4
LOC128909492	XM_054201231.1#LOC128909492
JAG1	XM_054196469.1#JAG1
VIPAS39	XM_054198093.1#VIPAS39
USE1	XM_054181664.1#USE1
S100Z	XM_054186985.1#S100Z
BTAF1	XM_054207381.1#BTAF1
NPHP1	XM_054197352.1#NPHP1
CALCRL	XM_054208793.1#CALCRL
ANKHD1	XM_054217820.1#ANKHD1
LOC128902166	XM_054184619.1#LOC128902166
PDCD1	XM_054205180.1#PDCD1
NDUFS1	XM_054208878.1#NDUFS1
SPTBN1	XM_054194093.1#SPTBN1
DCAF6	XM_054200075.1#DCAF6
LOC128916374	XM_054217894.1#LOC128916374
DNAJC1	XM_054190452.1#DNAJC1
PSMC1	XM_054201292.1#PSMC1
CAMK2D	XM_054203090.1#CAMK2D
SPIN1	XM_054186746.1#SPIN1
TLK2	XM_054224210.1#TLK2
BORCS7	XM_054206825.1#BORCS7
LOC128901121	XM_054182927.1#LOC128901121
NDNF	XM_054204099.1#NDNF
TMSB4X	XM_054187861.1#TMSB4X
LOC128916246	XM_054217627.1#LOC128916246
GRAMD2B	XM_054185190.1#GRAMD2B
KIAA2013	XM_054222764.1#KIAA2013
NUTF2	XM_054200110.1#NUTF2
SAMD10	XM_054218413.1#SAMD10
COL12A1	XM_054196528.1#COL12A1
RAC2	XM_054187866.1#RAC2
CLIP3	XM_054183662.1#CLIP3
LOC128911761	XM_054207119.1#LOC128911761
LOC128910206	XM_054203161.1#LOC128910206
DACH2	XM_054214014.1#DACH2
FN1	XM_054208584.1#FN1
ARPP21	XM_054190881.1#ARPP21
GPHN	XM_054200610.1#GPHN
HEATR3	XM_054198793.1#HEATR3
SYTL4	XM_054214287.1#SYTL4
