SNX24	XM_046905304#SNX24
ENSGALG00010013859	ENSGALT00010033246#MYOC
ENSGALG00010004416	ENSGALT00010010318#STXBP6
ENSGALG00010001442	ENSGALT00010003329#LDLRAD4
ENSGALG00010015746	XM_015287288#PAPOLB
ENSGALG00010008343	ENSGALT00010019972#TNFRSF21
XM_040703614	XM_040703614#LOC121113381
ENSGALG00010005872	ENSGALT00010014055#STK24
XM_015300827	XM_015300827#LOC107055677
ENSGALG00010007118	ENSGALT00010016931#ENSGALG00010007118
ENSGALG00010027867	ENSGALT00010067546#UBAP2L
ENSGALG00010015669	XM_040657343#INPP4A
ENSGALG00010027374	ENSGALT00010066378#NKTR
XM_040656845	XM_040656845#LOC107050235
ENSGALG00010026001	XM_015298998#ANKS1A
ENSGALG00010026229	ENSGALT00010063833#CRHR2
XM_040653874	XM_040653873#LOC121107773
ENSGALG00010011130	ENSGALT00010026626#DNM1L
ENSGALG00010020338	NM_001012837#NECAP2
ENSGALG00010027242	XM_040696525#ENSGALG00010027242
ENSGALG00010027097	XM_004934955#ENSGALG00010027097
XM_040704143	XM_040704143#LOC121111277
ENSGALG00010013236	XM_015281484#MON2
ENSGALG00010005527	ENSGALT00010013226#NUP43
ENSGALG00010006913	XM_015277924#HSPH1
ENSGALG00010016377	ENSGALT00010039439#FRMPD3
ENSGALG00010023165	ENSGALT00010056458#CSNK2A2
ENSGALG00010007362	ENSGALT00010017529#ENSGALG00010007362
ENSGALG00010016618	ENSGALT00010040081#TRPM3
ENSGALG00010010248	ENSGALT00010024412#ENSGALG00010010248
XM_040702965	XM_040702965#LOC121113369
ENSGALG00010023732	ENSGALT00010057855#TM2D1
ENSGALG00010018721	XM_004940654#LRCH2
ENSGALG00010002349	ENSGALT00010005324#ZBED1
ENSGALG00010019200	XM_040700382#ENSGALG00010019200
ENSGALG00010009372	ENSGALT00010022367#RAB28
ENSGALG00010019673	XM_015276769#NID2
ENSGALG00010019285	ENSGALT00010046630#BATF3
ENSGALG00010019024	ENSGALT00010046055#CNPY3
ENSGALG00010029788	ENSGALT00010072064#ENSGALG00010029788
ENSGALG00010012370	ENSGALT00010029616#ENSGALG00010012370
ENSGALG00010021116	ENSGALT00010051126#FAM21C
ENSGALG00010001763	ENSGALT00010004026#ENSGALG00010001763
ENSGALG00010022214	ENSGALT00010054041#ENSGALG00010022214
ENSGALG00010013317	XM_046938879#PREP
ENSGALG00010005779	ENSGALT00010013777#ARMT1
ENSGALG00010009034	ENSGALT00010021499#SNX17
ENSGALG00010007598	ENSGALT00010018089#ENSGALG00010007598
ENSGALG00010021679	ENSGALT00010052680#MASP2
ENSGALG00010014861	XM_416442#MED21
ENSGALG00010011210	XM_015275971#NUP153
ENSGALG00010026259	XM_040648123#MED15
ENSGALG00010012450	XM_040667587#PPFIA2
XM_015281957	XM_040696588#LOC420552
ENSGALG00010013017	ENSGALT00010031229#SCMH1
ENSGALG00010016738	ENSGALT00010040351#NAA60
ENSGALG00010014171	ENSGALT00010034080#DLC1
XM_040702890	XM_046943287#LOC121111175
ENSGALG00010001841	ENSGALT00010004187#ENSGALG00010001841
ENSGALG00010015055	XM_025142180#ZNF335
ENSGALG00010027653	ENSGALT00010067025#WNT7A
ENSGALG00010011484	ENSGALT00010027497#CHPT1
ENSGALG00010018823	NM_001172662#RAB40C
ENSGALG00010004177	XM_040691132#CSPP1
ENSGALG00010001152	ENSGALT00010002627#FEM1C
ENSGALG00010007318	XM_015283752#RMDN2
ENSGALG00010004669	XM_417165#ELMOD1
ENSGALG00010012913	ENSGALT00010030990#EGFLAM
ENSGALG00010002018	ENSGALT00010004570#ENSGALG00010002018
ENSGALG00010003495	ENSGALT00010008148#ENSGALG00010003495
ENSGALG00010024691	XM_003642191#TCTN2
ENSGALG00010022971	XM_040700934#CKAP5
ENSGALG00010013494	ENSGALT00010032476#ASB1
ENSGALG00010008243	ENSGALT00010019716#YTHDC2
ENSGALG00010001773	XM_040664442#NRCAM
ENSGALG00010001773	XM_040663070#NRCAM
ENSGALG00010002912	ENSGALT00010006770#RPS3
XM_040655053	XM_040655053#LOC121108150
ENSGALG00010011040	XM_046919630#CDH6
ENSGALG00010024740	ENSGALT00010060396#SLC38A8
ENSGALG00010019520	XM_015286126#CD6
ENSGALG00010024939	XM_015300296#COQ10A
ENSGALG00010015177	XM_046942419#TC2N
ENSGALG00010016410	ENSGALT00010039559#TRAK1
ENSGALG00010008368	NM_204673#SNCA
ENSGALG00010017065	XM_040698501#VRK2
ENSGALG00010003895	XM_040695467#THSD7A
ENSGALG00010014470	ENSGALT00010034790#RPS6KA1
ENSGALG00010029743	XM_040649528#MYOCD
ENSGALG00010028140	ENSGALT00010068188#HEMK1
ENSGALG00010016924	NM_001006461#LETM1
ENSGALG00010000720	XM_004938612#RBM26
ENSGALG00010028145	ENSGALT00010068196#ENSGALG00010028145
ENSGALG00010005204	ENSGALT00010012309#ITGBL1
ENSGALG00010002441	XM_040698936#USO1
ENSGALG00010020562	ENSGALT00010049645#LRRN1
ENSGALG00010015663	ENSGALT00010037707#AK7
ENSGALG00010021033	XM_015297437#RNF122
XM_046903025	XM_046903025#LOC124417335
ENSGALG00010004746	XM_040685427#LYN
ENSGALG00010006223	XM_424902#ATG10
ENSGALG00010011295	ENSGALT00010026965#FAM167A
ENSGALG00010020443	XM_015283697#PREPL
XM_040705831	XM_040705827#ESPNL
ENSGALG00010016225	ENSGALT00010039027#P4HA2
ENSGALG00010016786	ENSGALT00010040493#DISP1
ENSGALG00010015298	ENSGALT00010036827#ENSGALG00010015298
ENSGALG00010022769	NM_001080879#FXYD6
ENSGALG00010014379	XM_025146724#CARS2
ENSGALG00010027988	ENSGALT00010067841#HDAC11
XM_040702699	XM_040702696#LOC121109244
ENSGALG00010007536	XM_015282399#GABBR2
ENSGALG00010008017	ENSGALT00010019122#GMNN
ENSGALG00010012633	ENSGALT00010030253#USP18
XM_015302717	XM_015302718#QPCTL
ENSGALG00010018121	XM_040701835#FERMT2
XM_040646782	XM_040646782#LOC121106685
ENSGALG00010022560	XM_046903030#SAMD10
XM_046905726	XM_040656263#LOC121108539
ENSGALG00010009109	ENSGALT00010021702#ENSGALG00010009109
ENSGALG00010028889	ENSGALT00010069880#FUBP3
ENSGALG00010029327	XM_015296032#CRK
ENSGALG00010024628	NM_001396317#TANGO2
ENSGALG00010006132	ENSGALT00010014643#MIPEP
ENSGALG00010029321	XM_001235320#TBX2
ENSGALG00010008811	ENSGALT00010020909#TERF2IP
ENSGALG00010007597	ENSGALT00010018087#SMKR1
ENSGALG00010027830	ENSGALT00010067516#CACNA1D
ENSGALG00010020098	XM_004947393#GABRD
ENSGALG00010014186	ENSGALT00010034129#MOCS3
ENSGALG00010019243	ENSGALT00010046541#SERTAD2
ENSGALG00010012043	NM_001012541#NUP50
ENSGALG00010003960	ENSGALT00010009160#ASPH
ENSGALG00010012063	XM_040655782#PTPRD
ENSGALG00010003965	ENSGALT00010009186#SNTG1
ENSGALG00010006517	ENSGALT00010015494#ZBTB20
ENSGALG00010017272	XM_040696751#NRXN1
ENSGALG00010017701	ENSGALT00010042792#PPP2R5E
ENSGALG00010008956	ENSGALT00010021607#LVRN
ENSGALG00010003762	ENSGALT00010008696#EVI5L
ENSGALG00010017455	XM_015281586#CCR9
ENSGALG00010021137	NM_205443#PLAU
ENSGALG00010018573	XM_015283476#SEC23B
ENSGALG00010022248	ENSGALT00010054144#FIGNL2
ENSGALG00010012095	ENSGALT00010028995#RNF38
ENSGALG00010011128	ENSGALT00010026618#GCNT4
ENSGALG00010012509	XM_046904929#MICAL3
ENSGALG00010008321	ENSGALT00010019901#ZFHX3
XM_025155992	XM_025155992#LOC112533570
ENSGALG00010001532	ENSGALT00010003530#ENSGALG00010001532
ENSGALG00010005494	ENSGALT00010013126#PPDPFL
ENSGALG00010027100	XM_001233522#MIER2
ENSGALG00010010743	ENSGALT00010025654#KLHL20
ENSGALG00010022174	XM_015288176#KCNMA1
XM_040705146	XM_040705146#LOC121111389
ENSGALG00010017695	NM_001318986#FNDC5
ENSGALG00010009275	ENSGALT00010022115#CBLL1
ENSGALG00010014367	ENSGALT00010034590#OPHN1
ENSGALG00010015155	ENSGALT00010036524#HMOX1
ENSGALG00010014403	ENSGALT00010034639#H2BC37
ENSGALG00010024735	XM_046899292#OTUD7A
ENSGALG00010007002	ENSGALT00010016623#EXOC4
ENSGALG00010021605	XM_040653251#MAP3K3
ENSGALG00010012103	ENSGALT00010029011#ENSGALG00010012103
ENSGALG00010019692	XM_001233076#MMEL1
ENSGALG00010028869	ENSGALT00010069830#ADAMTS13
ENSGALG00010011509	ENSGALT00010027565#EXOC2
ENSGALG00010019101	ENSGALT00010046228#POLE2
ENSGALG00010009400	ENSGALT00010022672#CNTFR
ENSGALG00010010011	XM_413976#EPB41L4A
ENSGALG00010018482	NM_001031344#TWNK
ENSGALG00010011597	ENSGALT00010027735#TBC1D14
ENSGALG00010029732	ENSGALT00010071923#PIGL
ENSGALG00010021874	XM_004944724#TMCC1
ENSGALG00010011318	ENSGALT00010027065#PRP4K
ENSGALG00010012138	ENSGALT00010029125#DDX11
ENSGALG00010022686	ENSGALT00010055181#ENSGALG00010022686
ENSGALG00010022649	XM_001232641#PATZ1
ENSGALG00010022226	XM_040648319#FBRSL1
ENSGALG00010019666	ENSGALT00010047455#TTC34
ENSGALG00010017035	ENSGALT00010041136#PIK3CD
ENSGALG00010027081	XM_015291031#PDE4B
ENSGALG00010005742	ENSGALT00010013706#GPR183
ENSGALG00010021530	NM_001389381#MLF2
ENSGALG00010004094	XM_046937763#DGKB
ENSGALG00010005184	XM_015274265#FGF14
ENSGALG00010021218	ENSGALT00010051462#DPF3
ENSGALG00010028045	ENSGALT00010067960#ENSGALG00010028045
ENSGALG00010018193	ENSGALT00010044013#ANK1
ENSGALG00010023732	ENSGALT00010057859#TM2D1
ENSGALG00010007374	ENSGALT00010017569#CMIP
ENSGALG00010028180	XM_046901785#ODF2
XM_046902926	XM_046902926#LOC124417325
ENSGALG00010011157	XM_040698314#ENSGALG00010011157
ENSGALG00010023887	ENSGALT00010058231#RASA2
ENSGALG00010000263	ENSGALT00010000514#MTMR3
ENSGALG00010028499	XM_015279632#ENSGALG00010028499
ENSGALG00010010868	ENSGALT00010026008#SLC39A10
ENSGALG00010022174	XM_015288179#KCNMA1
XM_015298792	XM_015298792#LOC107055157
ENSGALG00010018602	ENSGALT00010045041#MCTP2
ENSGALG00010021539	XM_046898972#HEXA
ENSGALG00010016975	NM_001199428#MALL
ENSGALG00010017880	XM_040689306#CDK13
ENSGALG00010016286	XM_004939465#ULK4
ENSGALG00010021459	ENSGALT00010052024#ARHGEF16
ENSGALG00010029367	ENSGALT00010071025#DUSP14
ENSGALG00010005255	ENSGALT00010012449#BZW2
ENSGALG00010013199	XM_025147095#RALYL
ENSGALG00010027195	NM_001398185#CENPP
ENSGALG00010021817	ENSGALT00010053171#EVI5
ENSGALG00010024658	ENSGALT00010060195#CSF3
ENSGALG00010017435	ENSGALT00010042085#ACTR10
ENSGALG00010010747	ENSGALT00010025703#SYCP2L
ENSGALG00010029226	ENSGALT00010070636#MBTD1
ENSGALG00010017313	XM_046939537#MAP4K3
XM_040653167	XM_040653167#LOC121107651
ENSGALG00010023078	ENSGALT00010056215#TAGLN
ENSGALG00010004241	ENSGALT00010009921#PREX2
ENSGALG00010011950	ENSGALT00010028603#PDXK
ENSGALG00010023347	XM_046904332#STAT5A
ENSGALG00010019246	XM_015293342#IL17RC
ENSGALG00010024866	ENSGALT00010060711#TRAPPC4
ENSGALG00010026659	ENSGALT00010064728#LIPH
ENSGALG00010021575	XM_040704609#ADGRL2
ENSGALG00010023721	XM_046902900#ENSGALG00010023721
ENSGALG00010011343	XM_418967#PXDC1
ENSGALG00010011571	ENSGALT00010027685#ATOSB
ENSGALG00010003352	ENSGALT00010007865#FARSA
ENSGALG00010014884	XM_040652806#TMEM121B
ENSGALG00010021829	ENSGALT00010053121#ERCC6
ENSGALG00010012111	ENSGALT00010029037#DRD1
ENSGALG00010017617	ENSGALT00010042578#ENSGALG00010017617
XM_040697897	XM_040697897#LOC101751539
ENSGALG00010027648	XM_040652735#NFYA
ENSGALG00010021153	ENSGALT00010051259#PTPRF
ENSGALG00010024598	ENSGALT00010060010#LRRC3C
ENSGALG00010005411	XM_004935593#STXBP5
ENSGALG00010002308	XM_015281195#GXYLT1
ENSGALG00010022533	XM_415183#TMEM119
ENSGALG00010022957	ENSGALT00010055877#SLTM
ENSGALG00010019205	ENSGALT00010046421#ENSGALG00010019205
ENSGALG00010003183	XM_015276739#NAA16
ENSGALG00010023064	ENSGALT00010056206#ATG13
ENSGALG00010022992	ENSGALT00010055995#SLC7A6
ENSGALG00010011085	XM_015289255#UGT1A1
ENSGALG00010008081	XM_040677177#TOP1MT
ENSGALG00010029743	ENSGALT00010071968#MYOCD
ENSGALG00010008505	XM_015282340#PTPN3
ENSGALG00010000147	XM_040657254#ENSGALG00010000147
ENSGALG00010021593	ENSGALT00010052421#DCAF7
ENSGALG00010029263	ENSGALT00010070758#TOB1
ENSGALG00010001639	ENSGALT00010003765#ENSGALG00010001639
ENSGALG00010022333	XM_004948624#ENSGALG00010022333
ENSGALG00010020388	XM_040703099#MYOF
ENSGALG00010016437	XM_417439#FNDC11
ENSGALG00010029466	XM_040649800#SLC39A11
ENSGALG00010021708	XM_046943626#CNTNAP5
ENSGALG00010000581	ENSGALT00010001226#ENSGALG00010000581
ENSGALG00010016781	NM_001397342#CDIP1
ENSGALG00010020530	ENSGALT00010049594#SRSF5A
ENSGALG00010011574	ENSGALT00010027696#GAS2L3
ENSGALG00010001216	XM_015291786#SHOX2
XM_040654345	XM_040654345#LOC121107857
ENSGALG00010006172	XM_015273141#ENSGALG00010006172
ENSGALG00010018555	XM_046900570#UBN1
ENSGALG00010004214	XM_046938848#REPS1
ENSGALG00010028608	ENSGALT00010069289#MIGA2
ENSGALG00010012194	XM_004942487#LRRFIP1
ENSGALG00010000682	ENSGALT00010001427#ENSGALG00010000682
ENSGALG00010020130	ENSGALT00010048626#PDXDC1
ENSGALG00010027497	ENSGALT00010066638#KCNT1
ENSGALG00010012309	NM_001006577#TRAPPC13
ENSGALG00010027826	ENSGALT00010067433#ARHGEF11
ENSGALG00010029743	XM_040649531#MYOCD
ENSGALG00010013158	ENSGALT00010031552#CRIP1
ENSGALG00010016455	ENSGALT00010039659#RBM27
ENSGALG00010001825	ENSGALT00010004153#LIPT2
ENSGALG00010001902	ENSGALT00010004352#WDR45
XM_040654942	XM_040654942#LOC112530873
ENSGALG00010017109	ENSGALT00010041303#ITGB1BP3
ENSGALG00010016199	ENSGALT00010038922#RLBP1
ENSGALG00010020954	XM_015292004#PLIN1
ENSGALG00010020743	XM_015273258#PURB
ENSGALG00010000047	ENSGALT00010000064#IQGAP1
ENSGALG00010020290	XM_015286238#NELL1
ENSGALG00010009416	XM_040676821#COL14A1
ENSGALG00010017795	XM_040651813#MACF1
ENSGALG00010023097	XM_422445#LURAP1
ENSGALG00010024662	ENSGALT00010060206#MOB2
ENSGALG00010005503	ENSGALT00010013161#DYNLT1
ENSGALG00010017516	XM_025142914#AAK1
ENSGALG00010018049	ENSGALT00010043639#SUGCT
ENSGALG00010016404	XM_046938774#ESRRG
ENSGALG00010018265	NM_001398102#PDCD4
ENSGALG00010023083	ENSGALT00010056229#HARBI1
ENSGALG00010027152	XM_046904117#C4BPS
ENSGALG00010025581	XM_046898570#ENSGALG00010025581
ENSGALG00010016947	ENSGALT00010040930#CANX
ENSGALG00010021226	ENSGALT00010051437#FEV
ENSGALG00010020060	XM_046942440#ENSGALG00010020060
ENSGALG00010013737	XM_004945032#AFF4
ENSGALG00010021481	XM_025151709#MICU1
ENSGALG00010019233	XM_426598#ARPC2
ENSGALG00010005824	XM_426167#NMBR
ENSGALG00010028770	XM_025143595#ENSGALG00010028770
ENSGALG00010016529	ENSGALT00010039837#DCUN1D1
ENSGALG00010014917	XM_001234642#EIF3D
ENSGALG00010021545	ENSGALT00010052248#CYB5R2
ENSGALG00010019204	ENSGALT00010046410#ARF6
ENSGALG00010009761	ENSGALT00010023317#PDP2
ENSGALG00010004057	XM_040655013#ENSGALG00010004057
ENSGALG00010011957	ENSGALT00010028619#ENSGALG00010011957
ENSGALG00010003986	XM_046941665#FNDC3A
ENSGALG00010015213	XM_015291464#RUBCN
ENSGALG00010021749	XM_003641622#CLASP1
ENSGALG00010026652	ENSGALT00010064710#ENSGALG00010026652
XM_046941964	XM_046941964#LOC124418000
ENSGALG00010028110	XM_415503#COQ4
ENSGALG00010007051	ENSGALT00010016741#E2F3
ENSGALG00010018901	XM_015288569#TCF7L2
ENSGALG00010010889	ENSGALT00010026046#CCL19
ENSGALG00010014847	ENSGALT00010035779#PAICS
ENSGALG00010015621	XM_425027#IDNK
ENSGALG00010022571	XM_040645997#RIPOR1
ENSGALG00010012949	ENSGALT00010031067#ENSGALG00010012949
ENSGALG00010018258	XM_015297787#OSCP1
ENSGALG00010000811	ENSGALT00010001786#ENSGALG00010000811
ENSGALG00010010146	XM_040674828#PHACTR1
ENSGALG00010025656	ENSGALT00010062628#ENSGALG00010025656
ENSGALG00010015095	XM_025155503#RBFOX2
ENSGALG00010012042	XM_025152996#FNDC7
ENSGALG00010003965	ENSGALT00010009178#SNTG1
ENSGALG00010018049	XM_046936875#SUGCT
ENSGALG00010024861	ENSGALT00010060697#ORC1
XM_046904882	XM_046904882#LOC121107872
ENSGALG00010015416	ENSGALT00010037021#CAPN6
ENSGALG00010002338	ENSGALT00010005289#CD99
ENSGALG00010017690	NM_001097533#ARR3
ENSGALG00010018519	ENSGALT00010044814#OGDH
ENSGALG00010006434	ENSGALT00010015317#MMAA
ENSGALG00010005329	ENSGALT00010012646#VIPAS39
ENSGALG00010020957	ENSGALT00010050643#RPF1
ENSGALG00010020981	XM_015275394#CIT
ENSGALG00010026162	ENSGALT00010063717#MED1
XM_040651624	XM_040651624#LOC121107438
ENSGALG00010026612	XM_015276996#MFF
ENSGALG00010022416	ENSGALT00010054477#CCDC186
ENSGALG00010012680	ENSGALT00010030344#TRPM8
ENSGALG00010002592	XM_015272662#RPS6KA3
ENSGALG00010021186	XM_046944937#SWT1
XM_040646527	XM_040646528#LOC121106634
ENSGALG00010005174	XM_425591#TPP2
ENSGALG00010022357	ENSGALT00010054380#ENSGALG00010022357
XM_040656219	XM_040656219#LOC121108510
ENSGALG00010012211	ENSGALT00010029273#ENSGALG00010012211
ENSGALG00010013313	ENSGALT00010032035#GAK
ENSGALG00010023377	ENSGALT00010056980#OSER1
ENSGALG00010001745	XM_040649118#CADPS2
ENSGALG00010017237	ENSGALT00010041549#ENSGALG00010017237
ENSGALG00010014258	XM_004942535#ENSGALG00010014258
ENSGALG00010013487	XM_025144994#ENSGALG00010013487
ENSGALG00010002616	NM_001396499#ZNFB3
ENSGALG00010001878	ENSGALT00010004278#XK
ENSGALG00010016260	ENSGALT00010039079#INTS6L
ENSGALG00010010698	ENSGALT00010025503#GPRIN2
ENSGALG00010023814	ENSGALT00010058049#ENSGALG00010023814
ENSGALG00010011199	ENSGALT00010026759#ENSGALG00010011199
ENSGALG00010023172	NM_001318408#DHX58
ENSGALG00010003698	XM_418705#MACC1
ENSGALG00010022454	XM_046942951#ABLIM1
ENSGALG00010029728	ENSGALT00010071915#TNRC6C
ENSGALG00010005724	XM_040654550#PROSER2
ENSGALG00010009332	XM_046939400#ENSGALG00010009332
ENSGALG00010021153	XM_046944829#PTPRF
ENSGALG00010001556	XM_040695658#EPB41L3
ENSGALG00010025701_1968	ENSGALT00010062731#ENSGALG00010025701
ENSGALG00010020928	ENSGALT00010050578#AACS
ENSGALG00010029547	ENSGALT00010071419#HIP1
ENSGALG00010007360	ENSGALT00010017545#ROBO1
ENSGALG00010028600	ENSGALT00010069262#PSMD4
ENSGALG00010023962	XM_046944194#FPGT
ENSGALG00010028242	ENSGALT00010068432#ENSGALG00010028242
ENSGALG00010012850	ENSGALT00010030833#CALB1
ENSGALG00010021221	XM_040653353#ENSGALG00010021221
ENSGALG00010029405	NM_001317356#POLDIP2
ENSGALG00010001398	XM_004942329#WDR11
ENSGALG00010027391	XM_046903948#TPM3
ENSGALG00010003323	NM_205181#STMN2
ENSGALG00010029707	ENSGALT00010071855#NSRP1
ENSGALG00010024490	ENSGALT00010059736#TGM3
ENSGALG00010002512	XM_046901518#DAXX
ENSGALG00010003767	ENSGALT00010008702#ENSGALG00010003767
ENSGALG00010021518	ENSGALT00010052182#CPEB3
ENSGALG00010025333	NM_001305216#FZD5
ENSGALG00010015171	XM_040699994#NHSL2
XM_040657044	XM_040657034#LOC101750635
ENSGALG00010018390	XM_040706505#SLC12A1
ENSGALG00010016573	ENSGALT00010039936#DEGS1
ENSGALG00010021358	ENSGALT00010051743#MMP15
ENSGALG00010024946	XM_015277103#KIF1A
ENSGALG00010019337	ENSGALT00010046811#XPO1
ENSGALG00010003837	XM_040697622#ALKAL2
ENSGALG00010021577	ENSGALT00010052367#ARIH1
ENSGALG00010021145	XM_040651441#EIF4G3
ENSGALG00010017678	ENSGALT00010042746#YARS
ENSGALG00010004373	NM_001396538#MMS22L
ENSGALG00010021506	XM_015286091#MAX
XM_040705148	XM_040705148#LOC121111386
ENSGALG00010002629	NM_205484#ENSGALG00010002629
ENSGALG00010027875	NM_001396505#WNT5A
ENSGALG00010003507	XM_015276467#WDFY3
ENSGALG00010028066	NM_205287#ENSGALG00010028066
ENSGALG00010028748	XM_025143461#PIAS3
ENSGALG00010005240	ENSGALT00010012403#VIP
ENSGALG00010001195	XM_040656019#ZNF608
ENSGALG00010001240	ENSGALT00010002870#ENSGALG00010001240
ENSGALG00010014414	ENSGALT00010034703#TMEM255B
ENSGALG00010029247	ENSGALT00010070697#CCDC92B
ENSGALG00010003278	ENSGALT00010007696#ENSGALG00010003278
ENSGALG00010025486	ENSGALT00010062210#B3GALT1
ENSGALG00010020790	XM_046941455#PRPH2L
ENSGALG00010015822	XM_003642469#WFDC2
ENSGALG00010020061	ENSGALT00010048484#UBA3
ENSGALG00010021817	ENSGALT00010053100#EVI5
ENSGALG00010025599	ENSGALT00010062469#COPS9
ENSGALG00010027594	XM_418035#ITPR3
ENSGALG00010017752	XM_424397#ENSGALG00010017752
ENSGALG00010018555	XM_046900568#UBN1
ENSGALG00010006922	XM_040698515#SMYD3
ENSGALG00010008877	NM_001318412#FNDC4
ENSGALG00010023783	ENSGALT00010057991#VPS35
ENSGALG00010019411	ENSGALT00010046914#LSM5
ENSGALG00010000309	ENSGALT00010000582#ENSGALG00010000309
ENSGALG00010016197	ENSGALT00010038915#SNRPN
ENSGALG00010015942	NM_001291734#AP3S2
ENSGALG00010019182	XM_046941263#ENSGALG00010019182
ENSGALG00010012015	ENSGALT00010028771#ENSGALG00010012015
ENSGALG00010002017	ENSGALT00010004572#ARHGAP28
ENSGALG00010021617	XM_046943032#SORBS1
ENSGALG00010016370	XM_015278628#TMEM255A
ENSGALG00010012206	ENSGALT00010029275#RIBC2
ENSGALG00010019256	XM_040690178#BBS9
ENSGALG00010018284	XM_015290100#ENSGALG00010018284
ENSGALG00010016097	XM_046900403#FNIP1
ENSGALG00010008027	ENSGALT00010019138#C6orf62
ENSGALG00010000092	ENSGALT00010000160#INPPL1
ENSGALG00010022365	ENSGALT00010054399#PLCG1
ENSGALG00010020960	ENSGALT00010050651#CLEC19A
ENSGALG00010017020	ENSGALT00010041257#GJB5
ENSGALG00010011313	ENSGALT00010027046#RASSF9
ENSGALG00010006361	ENSGALT00010015188#SERTM1
ENSGALG00010005792	XM_025148728#ADGRG6
ENSGALG00010028542	ENSGALT00010069122#ENSGALG00010028542
ENSGALG00010027896	ENSGALT00010067619#TOR4A
ENSGALG00010024816	XM_046944259#NFIA
ENSGALG00010005186	NM_205183#ESR1
ENSGALG00010017577	NM_001030552#CLPX
ENSGALG00010005357	ENSGALT00010012724#TNIP3
ENSGALG00010003489	XM_040692170#SGCE
ENSGALG00010013528	NM_001039329#PRDX6
XM_046939219	XM_046939220#LOC101751384
ENSGALG00010010220	NM_205426#LHX9
ENSGALG00010029640	ENSGALT00010071666#ENSGALG00010029640
ENSGALG00010010945	XM_015285691#PI4K2B
ENSGALG00010023137	ENSGALT00010056398#ETV6
XM_040696344	XM_040696342#LOC101750341
ENSGALG00010011085	XM_015289252#UGT1A1
ENSGALG00010024853	XM_015278980#TJP1
ENSGALG00010004002	ENSGALT00010009264#CDADC1
ENSGALG00010000812	XM_040706643#ENSGALG00010000812
XM_040704894	XM_040704894#LOC121111385
ENSGALG00010009164	ENSGALT00010021880#TMEM128
ENSGALG00010011386	NM_205371#CTSB
ENSGALG00010017703	NM_001012587#RPS6KA5
ENSGALG00010007845	XM_040696781#TFAP2B
ENSGALG00010014186	ENSGALT00010034135#MOCS3
ENSGALG00010029175	NM_001302197#CENPX
ENSGALG00010012786	ENSGALT00010030661#TEF
ENSGALG00010022131	ENSGALT00010053830#ENSGALG00010022131
ENSGALG00010023507	ENSGALT00010057252#ENSGALG00010023507
ENSGALG00010013247	ENSGALT00010031847#ATG5
ENSGALG00010018598	ENSGALT00010045008#ENSGALG00010018598
ENSGALG00010016613	ENSGALT00010040058#SNIP1
ENSGALG00010010288	ENSGALT00010024544#ENSGALG00010010288
ENSGALG00010021144	ENSGALT00010051202#FOXK1
ENSGALG00010029366	XM_040649657#MGAT5B
ENSGALG00010027391	XM_015298577#TPM3
ENSGALG00010003925	XM_040698963#SEC31A
XM_040655896	XM_040655896#LOC121108318
ENSGALG00010000309	ENSGALT00010000583#ENSGALG00010000309
ENSGALG00010018358	ENSGALT00010044328#FBXL16
ENSGALG00010011392	NM_001001780#AvBD13
ENSGALG00010001871	ENSGALT00010004264#ENSGALG00010001871
ENSGALG00010023064	XM_015287230#ATG13
ENSGALG00010002424	XM_025145965#CASK
XM_025142657	XM_025142657#LOC112530148
ENSGALG00010007851	ENSGALT00010018681#AvBD7
ENSGALG00010017468	ENSGALT00010042183#AMDHD2
ENSGALG00010019982	XM_040703078#PLCE1
ENSGALG00010006678	ENSGALT00010015958#ENSGALG00010006678
ENSGALG00010017634	ENSGALT00010042611#PPIH
ENSGALG00010001507	ENSGALT00010003485#METTL4
XM_040653893	XM_040653893#LOC121107781
ENSGALG00010009503	NM_001044674#IL11RA
ENSGALG00010004963	ENSGALT00010011650#ENSGALG00010004963
ENSGALG00010026360	ENSGALT00010064192#CTDSPL
ENSGALG00010024981	ENSGALT00010061016#PPY
ENSGALG00010017558	ENSGALT00010042451#ENSGALG00010017558
ENSGALG00010017922	XM_015283348#MERTK
ENSGALG00010027383	NM_001013395#ASS1
ENSGALG00010002138	XM_040704660#MYO7A
ENSGALG00010017540	XM_015291540#EIF4G1
ENSGALG00010022193	ENSGALT00010053998#GDAP2
ENSGALG00010017153	ENSGALT00010041391#SLC35F4
XM_040648896	XM_040648897#LOC112533568
ENSGALG00010004072	ENSGALT00010009465#SGK3
ENSGALG00010024200	NM_001199522#GCHFR
ENSGALG00010022228	XM_046944458#FUBP1
ENSGALG00010010150	ENSGALT00010024215#NTRK2
ENSGALG00010010417	ENSGALT00010024923#OTOF
ENSGALG00010017830	ENSGALT00010043102#DENND4A
ENSGALG00010011247	ENSGALT00010026852#ENSGALG00010011247
XM_025147658	XM_025147658#LOC107051671
ENSGALG00010018509	ENSGALT00010044786#ENSGALG00010018509
ENSGALG00010028918	ENSGALT00010069966#AGPAT2
ENSGALG00010025822	NM_001397491#KLF7
XM_040705432	XM_040705432#LOC121109051
ENSGALG00010029334	ENSGALT00010070943#PIRT
ENSGALG00010021160	ENSGALT00010051261#ZNF143
ENSGALG00010007758	XM_046924102#DEK
ENSGALG00010023368	ENSGALT00010056970#ENSGALG00010023368
