ENSBTAG00000017942	ENSBTAT00000056382#CRTC2
ENSBTAG00000012139	ENSBTAT00000016104#SIX1
ENSBTAG00000062127	ENSBTAT00000119657#ENSBTAG00000062127
ENSBTAG00000016633	NM_174401#NPY2R
ENSBTAG00000020041	XM_024995198#FAM13B
ENSBTAG00000035615	ENSBTAT00000027792#UPF3B
ENSBTAG00000010506	XM_024989643#MEAF6
ENSBTAG00000003556	XM_024981718#ZFYVE21
ENSBTAG00000060362	XM_015461316#CATSPERZ
ENSBTAG00000064803	ENSBTAT00000117461#ENSBTAG00000064803
ENSBTAG00000010873	XM_015474241#BHLHE23
ENSBTAG00000012552	XM_005227571#FMR1
ENSBTAG00000012050	NM_001191348#ORAI2
ENSBTAG00000018879	XM_005223256#ZNF451
ENSBTAG00000025046	ENSBTAT00000034976#ALKBH5
ENSBTAG00000016714	XM_059887839#RGS12
ENSBTAG00000021039	XM_005208875#HNRNPM
ENSBTAG00000006404	ENSBTAT00000008396#CENPT
ENSBTAG00000002697	ENSBTAT00000003492#KCTD10
XM_059892300	XM_059892300#LOC112449074
ENSBTAG00000019001	ENSBTAT00000087505#PRDM10
ENSBTAG00000030426	ENSBTAT00000119251#ENSBTAG00000030426
ENSBTAG00000019373	ENSBTAT00000084750#CAPRIN2
ENSBTAG00000007439	XM_024987532#TENM4
ENSBTAG00000064263	ENSBTAT00000089294#ENSBTAG00000064263
ENSBTAG00000020417	ENSBTAT00000075026#DAPK3
ENSBTAG00000019725	ENSBTAT00000026289#UBE4A
ENSBTAG00000018160	ENSBTAT00000024169#LAMA1
ENSBTAG00000012564	XM_059878568#KANSL1
ENSBTAG00000025221	ENSBTAT00000123491#TEX30
ENSBTAG00000020934	XM_024998064#SHF
ENSBTAG00000062229	ENSBTAT00000135778#CCDC85B
ENSBTAG00000015406	ENSBTAT00000034744#ZNF750
ENSBTAG00000059425	LOC112446412#ENSBTAG00000059425
ENSBTAG00000015738	NM_001205998#GIGYF1
ENSBTAG00000022027	ENSBTAT00000029458#ENSBTAG00000022027
ENSBTAG00000013023	XM_059891679#MAP4K4
ENSBTAG00000062877	ENSBTAT00000126188#ENSBTAG00000062877
ENSBTAG00000014828	XM_059887939#CACNA1A
ENSBTAG00000048096	ENSBTAT00000063063#ENSBTAG00000048096
ENSBTAG00000063650	ENSBTAT00000102571#ENSBTAG00000063650
ENSBTAG00000019313	XM_024986919#ZMIZ1
ENSBTAG00000015670	ENSBTAT00000075606#PAK3
ENSBTAG00000044009	NM_001191352#PPP1R1C
ENSBTAG00000012833	NM_001206753#ATG2B
ENSBTAG00000000793	XM_024976879#LAMC2
ENSBTAG00000010350	XM_003586178#USP53
ENSBTAG00000019251	XM_059880870#EPB41L3
ENSBTAG00000012735	ENSBTAT00000016929#CFAP157
ENSBTAG00000008771	NM_001102085#MYEF2
ENSBTAG00000001610	XM_005220818#SLC4A1
ENSBTAG00000067755	XM_002699476#ENSBTAG00000067755
ENSBTAG00000055033	XM_059876132#ENSBTAG00000055033
ENSBTAG00000047508	NM_001435353#ZNF580
ENSBTAG00000057972	ENSBTAT00000056983#H2AC6
ENSBTAG00000011862	ENSBTAT00000015745#PCDH20
ENSBTAG00000044027	ENSBTAT00000115451#ITGBL1
ENSBTAG00000058538	ENSBTAT00000115521#ENSBTAG00000058538
ENSBTAG00000016287	NM_001080253#UNK
ENSBTAG00000008739	ENSBTAT00000079851#SAMD11
ENSBTAG00000012498	ENSBTAT00000101299#PAX5
ENSBTAG00000021422	ENSBTAT00000126318#PDZD4
ENSBTAG00000062533	ENSBTAT00000121135#ENSBTAG00000062533
ENSBTAG00000007650	ENSBTAT00000068522#SLC38A11
ENSBTAG00000059020	NM_001390579#OR4D11
ENSBTAG00000067482	XM_002688788#ENSBTAG00000067482
ENSBTAG00000011639	XM_024995123#STK11
ENSBTAG00000019953	ENSBTAT00000118743#CYBB
ENSBTAG00000008333	XM_010816390#ETV4
ENSBTAG00000058852	XM_024993507#COL25A1
ENSBTAG00000016828	ENSBTAT00000091877#TAPBP
ENSBTAG00000069280	ENSBTAT00000092854#H2BC19
ENSBTAG00000012870	ENSBTAT00000017102#BMP5
XM_059883919	XM_059883917#LOC101902122
ENSBTAG00000004079	XM_010809231#ZNF106
ENSBTAG00000034963	ENSBTAT00000082610#MKS1
ENSBTAG00000067632	ENSBTAT00000103035#ENSBTAG00000067632
ENSBTAG00000064442	ENSBTAT00000101277#ENSBTAG00000064442
ENSBTAG00000054123	ENSBTAT00000109809#KCNC2
ENSBTAG00000003267	ENSBTAT00000103196#ZNF132
ENSBTAG00000060281	ENSBTAT00000125363#ENSBTAG00000060281
ENSBTAG00000017097	ENSBTAT00000047035#PTCRA
ENSBTAG00000038323	NM_177513#ENSBTAG00000038323
ENSBTAG00000020988	ENSBTAT00000027949#KIZ
ENSBTAG00000015782	ENSBTAT00000020961#SCAP
ENSBTAG00000009950	NM_001206818#PAX3
ENSBTAG00000055795	ENSBTAT00000118286#ENSBTAG00000055795
ENSBTAG00000005581	ENSBTAT00000101961#CCL25
ENSBTAG00000038480	XM_010803425#FPGT
ENSBTAG00000026851	NM_001206821#FMNL2
ENSBTAG00000048761	XM_024993048#UBE2D3
ENSBTAG00000006691	NM_174542#GABRA3
ENSBTAG00000008092	XM_005221263#RAB37
ENSBTAG00000010866	ENSBTAT00000134018#BMPER
ENSBTAG00000000222	XM_024986705#ARID4B
ENSBTAG00000019387	ENSBTAT00000031564#NIFK
ENSBTAG00000046363	ENSBTAT00000065502#ENSBTAG00000046363
ENSBTAG00000018647	ENSBTAT00000024815#SLC2A11
ENSBTAG00000006695	XM_025001828#VCPIP1
ENSBTAG00000017595	ENSBTAT00000023395#HS2ST1
ENSBTAG00000013004	NM_001102516#ITIH5
ENSBTAG00000020178	NM_001035400#ARSK
XM_005208062	XM_005208062#CXCL2
ENSBTAG00000008849	ENSBTAT00000082768#SORT1
ENSBTAG00000005869	XM_059889769#SENP6
ENSBTAG00000020124	ENSBTAT00000128719#HTRA2
ENSBTAG00000034827	NM_001083706#PDGFD
ENSBTAG00000007148	NM_173877#F2
ENSBTAG00000055333	XM_002688609#ENSBTAG00000055333
ENSBTAG00000006446	XM_059889290#ENSBTAG00000006446
ENSBTAG00000001419	NM_001037450#MRPL4
ENSBTAG00000012035	NM_001075882#EXOC3L1
ENSBTAG00000065324	ENSBTAT00000079019#ENSBTAG00000065324
ENSBTAG00000005631	ENSBTAT00000007404#VARS1
ENSBTAG00000054065	XM_059883773#ENSBTAG00000054065
ENSBTAG00000039461	XM_010820984#MS4A15
XM_010821917	XM_010821917#CSNK1B
ENSBTAG00000004745	ENSBTAT00000048374#NAA15
ENSBTAG00000002846	NM_001024476#TRAF3IP3
ENSBTAG00000003540	ENSBTAT00000110607#MYT1L
ENSBTAG00000068528	ENSBTAT00000125902#ENSBTAG00000068528
ENSBTAG00000005363	ENSBTAT00000109987#GGN
ENSBTAG00000051501	ENSBTAT00000079331#ENSBTAG00000051501
ENSBTAG00000046189	ENSBTAT00000064229#RNASE13
ENSBTAG00000007513	XM_059875931#PGAM5
ENSBTAG00000020471	XM_005212258#SAMD15
ENSBTAG00000026886	XM_059879186#ATP5MJ
ENSBTAG00000003395	XM_010820134#ZRANB1
ENSBTAG00000055154	ENSBTAT00000080485#ENSBTAG00000055154
XM_024989856	XM_024989856#LOC100336443
ENSBTAG00000007007	ENSBTAT00000009220#WDR20
ENSBTAG00000008656	ENSBTAT00000011412#KBTBD6
ENSBTAG00000012037	NM_001014888#DGUOK
ENSBTAG00000003440	XM_059884448#FRRS1
ENSBTAG00000051066	ENSBTAT00000089408#ZNF71
ENSBTAG00000059312	ENSBTAT00000099832#ENSBTAG00000059312
ENSBTAG00000000977	ENSBTAT00000076143#CADM1
ENSBTAG00000025191	ENSBTAT00000121989#SKP1
ENSBTAG00000020751	NM_001076809#HSF1
ENSBTAG00000058517	ENSBTAT00000135737#ENSBTAG00000058517
ENSBTAG00000061570	ENSBTAT00000135237#H1-6
ENSBTAG00000000939	XM_025000913#KIF16B
ENSBTAG00000007346	NM_001040597#COMMD4
ENSBTAG00000002363	ENSBTAT00000114730#SESN2
ENSBTAG00000000462	XM_010814470#CCDC102A
ENSBTAG00000023851	NM_001193094#EEIG1
ENSBTAG00000004607	ENSBTAT00000034207#GSG1L
ENSBTAG00000020610	XM_005202820#ANKZF1
ENSBTAG00000001631	ENSBTAT00000002136#KIFC1
ENSBTAG00000027932	ENSBTAT00000061440#BIRC6
ENSBTAG00000065233	ENSBTAT00000100004#ENSBTAG00000065233
ENSBTAG00000011922	XM_025001907#PLEC
ENSBTAG00000005222	ENSBTAT00000055552#FAM221B
ENSBTAG00000010798	ENSBTAT00000127383#SLC23A1
ENSBTAG00000020632	ENSBTAT00000032316#NQO1
ENSBTAG00000011984	ENSBTAT00000015900#RSKR
ENSBTAG00000012261	ENSBTAT00000016258#RAB19
ENSBTAG00000012066	XM_005221005#PECAM1
ENSBTAG00000018488	XM_059887673#AFF1
ENSBTAG00000038486	ENSBTAT00000057233#B3GALT9
ENSBTAG00000014143	NM_001075744#ASB5
ENSBTAG00000059507	ENSBTAT00000088081#ENSBTAG00000059507
ENSBTAG00000069002	ENSBTAT00000093868#ENSBTAG00000069002
ENSBTAG00000063104	ENSBTAT00000115269#ENSBTAG00000063104
ENSBTAG00000045867	ENSBTAT00000072459#ENSBTAG00000045867
ENSBTAG00000016327	ENSBTAT00000021720#SLC28A2
XM_003588150	XM_003588150#RTL3
ENSBTAG00000009200	XM_059881675#PAM16
ENSBTAG00000009587	ENSBTAT00000108031#NRG3
ENSBTAG00000008436	XM_005214567#CDC25B
ENSBTAG00000003892	ENSBTAT00000126932#ENSBTAG00000003892
ENSBTAG00000018517	NM_174489#VLDLR
ENSBTAG00000051341	XM_002698189#FZD9
ENSBTAG00000012449	ENSBTAT00000016523#AFF3
ENSBTAG00000005141	XM_002690952#PELI2
ENSBTAG00000008272	XM_024985932#EBF3
ENSBTAG00000010919	XM_059874658#USP47
ENSBTAG00000015655	ENSBTAT00000020791#APBB1
ENSBTAG00000004775	XM_005217677#GRIA2
ENSBTAG00000001533	ENSBTAT00000085626#HACE1
ENSBTAG00000010898	ENSBTAT00000014475#SLC30A6
ENSBTAG00000016445	ENSBTAT00000095958#YME1L1
ENSBTAG00000011995	ENSBTAT00000015915#ENSBTAG00000011995
ENSBTAG00000039766	XM_059876301#FBRSL1
ENSBTAG00000057379	ENSBTAT00000104513#ENSBTAG00000057379
ENSBTAG00000058103	XM_024979036#ENSBTAG00000058103
ENSBTAG00000010602	NM_001034329#DDX56
ENSBTAG00000015602	ENSBTAT00000094156#MRNIP
ENSBTAG00000015376	XM_059878837#FBXW11
ENSBTAG00000008147	ENSBTAT00000081276#MICAL1
ENSBTAG00000021726	ENSBTAT00000102368#CWC22
ENSBTAG00000002096	NM_001077402#FCGR3A
ENSBTAG00000007144	NM_001083385#KRT83
ENSBTAG00000058703	ENSBTAT00000109700#ENSBTAG00000058703
ENSBTAG00000003278	ENSBTAT00000004243#HOXC10
ENSBTAG00000014786	XM_059879540#PBRM1
ENSBTAG00000024826	NM_001080324#TECRL
ENSBTAG00000000964	XM_024989904#FCRL5
ENSBTAG00000063752	ENSBTAT00000088833#ENSBTAG00000063752
ENSBTAG00000014069	NM_001101883#PDK4
ENSBTAG00000017665	ENSBTAT00000091453#DHRS4
ENSBTAG00000050616	ENSBTAT00000082888#ENSBTAG00000050616
ENSBTAG00000020938	NM_001025320#TWF1
ENSBTAG00000011518	XM_059882386#RARB
ENSBTAG00000009693	NM_001206699#TBC1D12
ENSBTAG00000008216	NM_001244182#RRM2
ENSBTAG00000000257	ENSBTAT00000083015#MRAP2
ENSBTAG00000039141	XM_005215600#TMEM74
ENSBTAG00000021700	ENSBTAT00000123726#MADD
ENSBTAG00000018715	NM_001075389#MPLKIP
ENSBTAG00000044157	XM_024979370#ENSBTAG00000044157
ENSBTAG00000035175	NM_001083445#DONSON
ENSBTAG00000010241	ENSBTAT00000039849#UNC5D
ENSBTAG00000050107	XM_015474937#OR4C181
ENSBTAG00000057620	ENSBTAT00000114039#ENSBTAG00000057620
ENSBTAG00000053827	ENSBTAT00000094662#ENSBTAG00000053827
ENSBTAG00000000973	ENSBTAT00000119417#KCNJ15
ENSBTAG00000014143	ENSBTAT00000018799#ASB5
XM_024988724	XM_024988724#LOC100300003
ENSBTAG00000019939	ENSBTAT00000026562#SLC35D2
ENSBTAG00000015008	ENSBTAT00000134694#CPA3
ENSBTAG00000013753	ENSBTAT00000018273#DDRGK1
ENSBTAG00000066332	ENSBTAT00000122564#ENSBTAG00000066332
ENSBTAG00000005076	ENSBTAT00000006699#SYVN1
ENSBTAG00000012995	ENSBTAT00000017276#MCUB
ENSBTAG00000015891	XM_024989747#NSUN4
ENSBTAG00000054692	ENSBTAT00000068616#ENSBTAG00000054692
ENSBTAG00000067194	ENSBTAT00000124603#ENSBTAG00000067194
ENSBTAG00000022489	ENSBTAT00000067476#RNF213
ENSBTAG00000003797	ENSBTAT00000035648#SLC17A3
ENSBTAG00000012296	NM_001101250#GABRG1
ENSBTAG00000007887	XM_059881544#GRIN2A
XM_059883915	XM_059883915#LOC101902122
ENSBTAG00000002220	ENSBTAT00000002872#SPTLC1
ENSBTAG00000040190	ENSBTAT00000053585#CCDC88B
XM_002686553	XM_002686553#TMEM35B
ENSBTAG00000016002	XM_059878724#FAM169A
ENSBTAG00000009777	ENSBTAT00000096492#NUP35
ENSBTAG00000007963	XM_010810307#KIDINS220
ENSBTAG00000015336	XM_015462708#PRUNE1
ENSBTAG00000050919	ENSBTAT00000081313#ENSBTAG00000050919
ENSBTAG00000024723	ENSBTAT00000034438#CHCHD3
ENSBTAG00000063281	ENSBTAT00000115296#ENSBTAG00000063281
ENSBTAG00000068872	NM_001390095#OR13P3
ENSBTAG00000057505	ENSBTAT00000131261#ENSBTAG00000057505
ENSBTAG00000062225	ENSBTAT00000104467#ENSBTAG00000062225
ENSBTAG00000016679	ENSBTAT00000119648#ETFDH
ENSBTAG00000011500	NM_001035374#CASQ2
ENSBTAG00000004643	ENSBTAT00000006094#WASL
ENSBTAG00000068404	XM_002697961#TVP23A
ENSBTAG00000002206	XM_059883437#ZC3H12B
ENSBTAG00000025293	XM_002689082#OR2W3
ENSBTAG00000044077	ENSBTAT00000119258#POLR3G
ENSBTAG00000061669	ENSBTAT00000112342#ENSBTAG00000061669
ENSBTAG00000062328	ENSBTAT00000098337#ENSBTAG00000062328
ENSBTAG00000010617	ENSBTAT00000113368#KRTCAP2
ENSBTAG00000005458	ENSBTAT00000071319#TBC1D24
ENSBTAG00000001725	NM_001046551#CXCL10
ENSBTAG00000001432	ENSBTAT00000001878#ENSBTAG00000001432
XM_025000897	XM_025000897#LOC112449235
ENSBTAG00000000721	NM_001075778#GPATCH1
ENSBTAG00000010284	ENSBTAT00000013587#ETNPPL
ENSBTAG00000050550	ENSBTAT00000093822#FAM110B
ENSBTAG00000004115	XM_005223783#MYLIP
ENSBTAG00000038322	ENSBTAT00000119988#ENSBTAG00000038322
ENSBTAG00000017569	NM_001435097#C20H5orf22
ENSBTAG00000018361	XM_024992140#R3HDM2
ENSBTAG00000063529	ENSBTAT00000133628#ENSBTAG00000063529
ENSBTAG00000006884	NM_174569#PABPN1
ENSBTAG00000057704	ENSBTAT00000119182#ENSBTAG00000057704
ENSBTAG00000004586	XM_015461622#ENSBTAG00000004586
ENSBTAG00000018024	ENSBTAT00000127335#NR1D2
ENSBTAG00000003579	ENSBTAT00000068046#FBXW4
ENSBTAG00000012846	XM_024975896#KIAA1549L
ENSBTAG00000010812	ENSBTAT00000090373#P2RX4
XM_059879225	XM_059879225#LOC100138454
ENSBTAG00000001273	XM_010807177#NLRP3
ENSBTAG00000006322	XM_059875107#DENND5A
ENSBTAG00000010508	NM_174251#BLVRB
ENSBTAG00000014636	XM_059877477#ZFHX3
ENSBTAG00000019255	ENSBTAT00000135424#NFE2L2
ENSBTAG00000037413	XM_059883432#TMEM164
ENSBTAG00000069080	NM_001077128#ENSBTAG00000069080
ENSBTAG00000006938	XM_024977865#PPM1F
ENSBTAG00000010898	ENSBTAT00000134582#SLC30A6
ENSBTAG00000000581	XM_059875953#DOCK10
ENSBTAG00000009355	ENSBTAT00000123416#SNAP91
ENSBTAG00000068286	ENSBTAT00000113340#TIGD4
ENSBTAG00000012073	ENSBTAT00000093076#VOPP1
ENSBTAG00000048271	ENSBTAT00000084556#MICAL3
ENSBTAG00000011002	ENSBTAT00000014612#CCDC136
ENSBTAG00000012060	ENSBTAT00000071645#LPIN2
ENSBTAG00000015106	XM_005223866#DSP
ENSBTAG00000017713	XM_005211838#KTN1
ENSBTAG00000015101	ENSBTAT00000020096#HMGB2
ENSBTAG00000011423	NM_001102054#SERPINI2
ENSBTAG00000005946	NM_001191266#USP13
ENSBTAG00000052449	ENSBTAT00000011737#ENSBTAG00000052449
ENSBTAG00000055769	ENSBTAT00000111809#ENSBTAG00000055769
ENSBTAG00000025593	ENSBTAT00000036068#CCDC32
ENSBTAG00000026657	NM_001076445#ENSBTAG00000026657
ENSBTAG00000061767	ENSBTAT00000113305#ENSBTAG00000061767
ENSBTAG00000012433	ENSBTAT00000056230#DENND1B
ENSBTAG00000010304	XM_024987540#CHKA
ENSBTAG00000069197	ENSBTAT00000121268#ENSBTAG00000069197
ENSBTAG00000031387	ENSBTAT00000044471#FZR1
ENSBTAG00000070098	ENSBTAT00000131325#ENSBTAG00000070098
ENSBTAG00000025434	ENSBTAT00000035742#ZFP36L1
ENSBTAG00000045699	ENSBTAT00000132723#CTNNA3
ENSBTAG00000039916	ENSBTAT00000036594#SMAD2
ENSBTAG00000022450	ENSBTAT00000030398#THAP9
ENSBTAG00000019900	XM_002689410#LNPEP
ENSBTAG00000006963	ENSBTAT00000100078#RPL12
ENSBTAG00000032079	ENSBTAT00000099365#SYT9
ENSBTAG00000063257	ENSBTAT00000135240#ENSBTAG00000063257
ENSBTAG00000017439	XM_005207341#MIEF1
ENSBTAG00000012844	ENSBTAT00000101368#LRSAM1
ENSBTAG00000060509	ENSBTAT00000110060#ENSBTAG00000060509
ENSBTAG00000052979	ENSBTAT00000076519#TMEM69
ENSBTAG00000032560	ENSBTAT00000046199#SPINK2B
ENSBTAG00000020701	ENSBTAT00000102406#MEF2C
ENSBTAG00000002097	ENSBTAT00000037444#TMC5
ENSBTAG00000031171	NM_001077993#SH3GLB1
ENSBTAG00000014329	ENSBTAT00000019052#ENSBTAG00000014329
ENSBTAG00000013499	XM_005217352#LHX9
ENSBTAG00000018642	XM_005221836#RCCD1
ENSBTAG00000059672	ENSBTAT00000130402#ENSBTAG00000059672
ENSBTAG00000004104	XM_010818275#RUNX2
ENSBTAG00000020051	NM_001145758#C25H16orf82
ENSBTAG00000021669	ENSBTAT00000028879#MTCL2
ENSBTAG00000009286	ENSBTAT00000105115#ZC3H4
ENSBTAG00000011071	ENSBTAT00000134111#BPIFC
ENSBTAG00000021654	ENSBTAT00000028855#GAS2
ENSBTAG00000001997	ENSBTAT00000121118#MROH2B
XM_059884635	XM_059884635#OR13P13
ENSBTAG00000003863	NM_001428306#PCED1A
ENSBTAG00000019251	XM_059880861#EPB41L3
ENSBTAG00000017770	ENSBTAT00000101031#LUC7L2
ENSBTAG00000009831	ENSBTAT00000072622#OCA2
ENSBTAG00000022379	ENSBTAT00000030293#VSIG2
ENSBTAG00000016939	XM_059891444#C11H2orf42
ENSBTAG00000020382	ENSBTAT00000087963#RIN2
ENSBTAG00000008887	ENSBTAT00000011702#PAQR3
ENSBTAG00000011507	NM_001034222#NUP88
ENSBTAG00000010279	ENSBTAT00000013570#DUSP14
ENSBTAG00000006657	ENSBTAT00000127927#ZDHHC8
ENSBTAG00000032163	ENSBTAT00000021934#LTV1
ENSBTAG00000012423	ENSBTAT00000078136#SENP1
ENSBTAG00000043964	ENSBTAT00000061579#ARL5B
ENSBTAG00000002941	NM_001032300#FES
ENSBTAG00000061479	ENSBTAT00000112046#ENSBTAG00000061479
ENSBTAG00000023054	ENSBTAT00000031344#SLC25A16
ENSBTAG00000005085	XM_010802576#TRIM63
ENSBTAG00000008373	ENSBTAT00000126818#ITGA10
ENSBTAG00000058014	ENSBTAT00000091385#ENSBTAG00000058014
ENSBTAG00000062548	ENSBTAT00000101108#ENSBTAG00000062548
XM_005219745	XM_005219745#LENG9
ENSBTAG00000012543	XM_005228033#EDA
ENSBTAG00000023843	ENSBTAT00000101058#RALGPS1
XM_059887277	XM_059887277#LOC132345391
ENSBTAG00000066977	XM_024976868#ENSBTAG00000066977
ENSBTAG00000020815	ENSBTAT00000027737#UHRF2
ENSBTAG00000007156	XM_015471072#AGAP2
ENSBTAG00000006974	XM_024975786#PLEKHA7
ENSBTAG00000055242	NM_001390381#OR11G7
ENSBTAG00000007969	ENSBTAT00000079299#CIDEC
ENSBTAG00000010529	XM_003586904#FZD6
ENSBTAG00000016772	ENSBTAT00000055593#USP11
ENSBTAG00000015073	ENSBTAT00000096023#CRPPA
ENSBTAG00000053909	ENSBTAT00000134361#NAT9
ENSBTAG00000017023	ENSBTAT00000127110#INPP5J
ENSBTAG00000013790	ENSBTAT00000018325#MAP3K1
ENSBTAG00000050814	XM_024986691#CFAP70
XM_010818514	XM_010818514#H2BC6
ENSBTAG00000038395	XM_059888788#ENSBTAG00000038395
ENSBTAG00000016235	NM_001046505#RNASEH1
ENSBTAG00000013843	ENSBTAT00000018383#ACVRL1
ENSBTAG00000019621	ENSBTAT00000026141#NDRG3
ENSBTAG00000011292	ENSBTAT00000015001#LZTR1
ENSBTAG00000020642	ENSBTAT00000027508#ZDHHC13
ENSBTAG00000016588	ENSBTAT00000089054#PGAP6
ENSBTAG00000010343	XM_005208316#C1QTNF7
ENSBTAG00000064396	ENSBTAT00000104638#ENSBTAG00000064396
ENSBTAG00000032477	XM_005222075#HECTD1
ENSBTAG00000014503	ENSBTAT00000111680#IQCE
ENSBTAG00000018130	XM_010802233#MAP2
XM_024979305	XM_024979305#LOC100300095
ENSBTAG00000048591	NM_001166522#THBD
ENSBTAG00000004598	ENSBTAT00000006036#GOLGA5
ENSBTAG00000009611	XM_024975167#PHF21A
ENSBTAG00000021076	XM_024991835#TNRC6B
ENSBTAG00000003561	ENSBTAT00000004632#STK35
ENSBTAG00000009230	ENSBTAT00000102026#FBLN7
ENSBTAG00000012193	XM_024977807#TTC28
ENSBTAG00000001491	ENSBTAT00000001952#NWD2
ENSBTAG00000035083	NM_001078161#ATXN7L3B
ENSBTAG00000005373	XM_024997256#TPM1
ENSBTAG00000039599	ENSBTAT00000043402#HOXB4
ENSBTAG00000016266	ENSBTAT00000097527#SDHD
ENSBTAG00000004374	ENSBTAT00000005733#CNPY2
ENSBTAG00000018855	XM_005201117#SCAF4
ENSBTAG00000058001	ENSBTAT00000109421#ENSBTAG00000058001
ENSBTAG00000009260	XM_005228439#GPM6B
ENSBTAG00000011068	ENSBTAT00000125570#MON2
ENSBTAG00000055957	ENSBTAT00000104158#ENSBTAG00000055957
ENSBTAG00000054258	ENSBTAT00000067180#ENSBTAG00000054258
ENSBTAG00000030616	ENSBTAT00000106615#ZCCHC10
ENSBTAG00000004591	ENSBTAT00000006027#PLPPR5
ENSBTAG00000039770	NM_001083386#CEBPZ
ENSBTAG00000015398	XM_024982007#TJP1
ENSBTAG00000031696	XM_059878701#ANKRD44
ENSBTAG00000010346	XM_002688339#ENAM
ENSBTAG00000031327	ENSBTAT00000044388#TRMT61A
ENSBTAG00000014463	XM_024993282#CAMK2D
ENSBTAG00000026919	NM_001076932#PXDC1
ENSBTAG00000009046	ENSBTAT00000011919#TBX6
ENSBTAG00000011324	ENSBTAT00000015049#EMILIN1
ENSBTAG00000000253	XM_059883467#PTPRF
ENSBTAG00000004106	NM_001079641#PRKRIP1
ENSBTAG00000039324	ENSBTAT00000052806#FGFBP3
ENSBTAG00000015403	ENSBTAT00000105428#TPP1
ENSBTAG00000034693	XM_005206030#SYT1
ENSBTAG00000011124	NM_001038620#LHX3
ENSBTAG00000019952	ENSBTAT00000126238#ARMC8
ENSBTAG00000004271	ENSBTAT00000135157#UBAP2L
ENSBTAG00000030384	ENSBTAT00000089426#SURF1
ENSBTAG00000020613	ENSBTAT00000135441#STK16
ENSBTAG00000067177	ENSBTAT00000128334#ENSBTAG00000067177
ENSBTAG00000002066	ENSBTAT00000002672#MYL7
ENSBTAG00000020441	ENSBTAT00000027243#HMG20A
ENSBTAG00000023933	XM_005213465#SEC16A
ENSBTAG00000050746	ENSBTAT00000068070#ENSBTAG00000050746
ENSBTAG00000006795	NM_174844#GCSH
ENSBTAG00000000654	ENSBTAT00000132364#ODAD2
ENSBTAG00000048493	XM_059888521#NAALADL2
ENSBTAG00000032152	XM_010805347#TMPRSS6
ENSBTAG00000002910	NM_001038536#ECHDC2
ENSBTAG00000045678	ENSBTAT00000065194#ENSBTAG00000045678
ENSBTAG00000009938	ENSBTAT00000013111#XCL1
ENSBTAG00000021416	ENSBTAT00000115274#PRXL2A
ENSBTAG00000050139	ENSBTAT00000083366#ENSBTAG00000050139
ENSBTAG00000058572	ENSBTAT00000122434#ENSBTAG00000058572
ENSBTAG00000007704	NM_001078042#ELOVL7
ENSBTAG00000007606	NM_001076920#HNRNPU
ENSBTAG00000017740	NM_001435140#TUBAL3
ENSBTAG00000007994	NM_001045904#OSCP1
ENSBTAG00000004318	NM_001038567#ARL3
ENSBTAG00000013851	NM_001078028#BCL10
ENSBTAG00000000460	XM_059883024#SYTL2
ENSBTAG00000004387	ENSBTAT00000005760#MTPAP
ENSBTAG00000030369	NM_001434859#IFFO1
ENSBTAG00000012682	XM_024994792#UNC13A
ENSBTAG00000005469	XM_005210229#CCAR2
ENSBTAG00000007730	ENSBTAT00000034353#ZFX
ENSBTAG00000015483	ENSBTAT00000124650#CCR8
ENSBTAG00000007649	ENSBTAT00000076057#TM2D3
ENSBTAG00000000128	ENSBTAT00000093351#FGF18
ENSBTAG00000021319	XM_005202903#MFF
ENSBTAG00000004766	XM_024978228#CLEC18C
ENSBTAG00000018737	XM_015464323#GLMN
ENSBTAG00000010963	XM_024981660#IL16
ENSBTAG00000060606	ENSBTAT00000113768#ENSBTAG00000060606
ENSBTAG00000005760	ENSBTAT00000007574#TBC1D4
ENSBTAG00000011388	ENSBTAT00000121393#STOML2
ENSBTAG00000018295	ENSBTAT00000070497#SEC23B
ENSBTAG00000000816	XM_059889791#PRDM1
ENSBTAG00000004489	ENSBTAT00000005887#APPBP2
ENSBTAG00000023064	XM_059891880#ENSBTAG00000023064
ENSBTAG00000019948	XM_059888067#AFAP1L1
ENSBTAG00000059312	ENSBTAT00000108993#ENSBTAG00000059312
ENSBTAG00000038755	ENSBTAT00000099608#ENSBTAG00000038755
ENSBTAG00000016878	ENSBTAT00000071782#WDR59
ENSBTAG00000019839	XM_059891162#LTBP1
ENSBTAG00000067187	ENSBTAT00000109129#ENSBTAG00000067187
XM_003587621	XM_003587621#SLC22A13
XM_015458848	XM_015458848#LOC107131522
ENSBTAG00000017545	NM_001098119#FCHO2
ENSBTAG00000061269	ENSBTAT00000129126#ENSBTAG00000061269
ENSBTAG00000020649	XM_010819256#CIITA
ENSBTAG00000000928	XM_024981170#SPECC1
ENSBTAG00000018955	ENSBTAT00000025231#SOHLH2
ENSBTAG00000016928	XM_059882023#PDZD7
ENSBTAG00000066300	ENSBTAT00000123703#ENSBTAG00000066300
ENSBTAG00000059762	ENSBTAT00000129089#ENSBTAG00000059762
ENSBTAG00000064789	ENSBTAT00000114281#TMEM238
ENSBTAG00000011902	NM_001105406#WASHC1
ENSBTAG00000002349	ENSBTAT00000122624#STX1B
ENSBTAG00000011538	XM_059885302#KIF1A
XM_059875655	XM_059875655#LOC132342442
